"","x"
"350","Bertrand Bissuel"
"351","Gérard Courtois"
"352","Thomas Wieder"
"353","Olivier Faye"
"354","Nicole Vulser"
"355","Sandrine Blanchard"
"356","Adrien Pécout"
"357","Audrey Tonnelier"
"358","Benoît Floc'h"
"359","Audrey Tonnelier"
"360","Benoît Floc'h"
"361","Béatrice Jérôme"
"362","Julien Bouissou"
"363","Marie Bourreau"
"364","Marc Semo"
"365","Françoise Fressoz"
"366","Lucie Soullier"
"367","Olivier Faye"
"368","Lucie Soullier"
"369","Enora Ollivier"
"370","Audrey Tonnelier"
"371","Emmanuelle Jardonnet"
"372","Benoît Floc'h"
"373","Audrey Tonnelier"
"374","Sylvia Zappi"
"375","Béatrice Jérôme"
"376","Virginie Malingre"
"377","Michel Noblecourt"
"378","Stéphane Mandard"
"379","Béatrice Jérôme"
"380","Nathalie Guibert"
"381","Alain Salles"
"382","Marc Semo"
"383","Sarah Belouezzane"
"384","Bertrand Bissuel"
"385","Adrien Sénécat"
"386","Philippe Ridet"
"387","Patrick Roger"
"388","Sandrine Morel"
"389","Olivier Faye"
"390","Virginie Malingre"
"391","Gérard Courtois"
"392","Virginie Malingre"
"393","Gérard Courtois"
"394","Yann Bouchez"
"395","Simon Piel"
"396","Cédric Pietralunga"
"397","Michel Guerrin"
"398","Olivier Faye"
"399","Martin Untersinger"
"400","Alexandre Lemarié"
"401","Lucie Soullier"
"402","Cédric Pietralunga"
"403","Maxime Ferrer"
"404","Joséfa Lopez"
"405","Mathilde Damgé"
"406","Benoît Floc'h"
"407","Audrey Tonnelier"
"408","Patrick Roger"
"409","Nicolas Chapuis"
"410","Cédric Pietralunga"
"411","Elise Vincent"
"412","Olivier Faye"
"413","Sarah Belouezzane"
"414","Olivier Faye"
"415","Solenn de Royer"
"416","Enora Ollivier"
"417","Adrien Sénécat"
"418","Violaine Morin"
"419","Raphaëlle Besse Desmoulières"
"420","Bertrand Bissuel"
"421","Violaine Morin"
"422","Sarah Belouezzane"
"423","Bertrand Bissuel"
"424","Manon Rescan"
"425","Alexandre Lemarié"
"426","Françoise Fressoz"
"427","Grégoire Allix"
"428","Virginie Malingre"
"429","Cécile Ducourtieux"
"430","Nicolas Chapuis"
"431","Raphaëlle Besse Desmoulières"
"432","Cédric Pietralunga"
"433","Audrey Tonnelier"
"434","Nicolas Chapuis"
"435","Elise Vincent"
"436","Olivier Faye"
"437","Adrien Pécout"
"438","Anne-Aël Durand"
"439","Alexandre Lemarié"
"440","Patrick Roger"
"441","Manon Rescan"
"442","Alexandre Lemarié"
